"","conv","country","drop_kicks","opposition","penalties","player","points","position","result","tries","country_tier","opposition_tier"
"7587",0,"Can",1,"Russia",0,"A Monro",3,"FH","won",0,"2","2"
"7588",0,"Germ",0,"Georgia",1,"K Davies",3,"FH","lost",0,"2","2"
"7589",0,"Italy",0,"Ireland",1,"M Bergamasco",3,"W","lost",0,"1","1"
"7590",0,"Italy",0,"Ireland",1,"C Gower",3,"FH","lost",0,"1","1"
"7591",0,"Ire",0,"Italy",1,"PR Wallace",3,"FH","won",0,"1","1"
"7592",0,"Georg",1,"Portugal",0,"L Malaguradze",3,"FH","won",0,"2","2"
"7593",0,"Fra",1,"Ireland",0,"F Michalak",3,"C","won",0,"1","1"
"7594",0,"Fra",0,"Wales",1,"F Michalak",3,"FH","won",0,"1","1"
"7595",0,"Rom",0,"Russia",1,"FA Vlaicu",3,"FH","draw",0,"2","2"
"7596",0,"Ire",0,"England",1,"JJ Sexton",3,"FH","won",0,"1","1"
"7597",0,"Georg",0,"Romania",1,"L Malaguradze",3,"FH","lost",0,"2","2"
"7598",0,"Port",0,"Spain",1,"JK Gardener",3,"FB","won",0,"2","2"
"7599",0,"Russ",0,"Georgia",1,"Y Kushnarev",3,"FH","lost",0,"2","2"
"7600",0,"Port",0,"Romania",1,"JK Gardener",3,"FB","lost",0,"2","2"
"7601",0,"Fra",1,"England",0,"F Trinh-Duc",3,"FH","won",0,"1","1"
"7602",0,"Eng",0,"France",1,"JP Wilkinson",3,"C","lost",0,"1","1"
"7603",0,"Spain",0,"Romania",1,"MA Mazo Canas",3,"FH","lost",0,"2","2"
"7604",0,"Korea",0,"Japan",1,"HS Yun",3,"FH","lost",0,"3","2"
"7605",0,"Fiji",0,"Australia",1,"RT Rawaqa Maravunawasawasa",3,"FB","lost",0,"2","1"
"7606",0,"SA",0,"Wales",1,"FPL Steyn",3,"FB","won",0,"1","1"
"7607",0,"USA",0,"Russia",1,"V Rouse",3,"FH","won",0,"2","2"
"7608",0,"JPN",0,"Fiji",1,"RT Nicholas",3,"C","lost",0,"2","2"
"7609",0,"Samoa",0,"Tonga",1,"PB Williams",3,"FB","won",0,"2","2"
"7611",0,"Wales",0,"New Zealand",1,"SL Halfpenny",3,"W","lost",0,"1","1"
"7612",0,"Eng",0,"Australia",1,"JP Wilkinson",3,"FH","won",0,"1","1"
"7613",0,"Arg",0,"Scotland",1,"M Rodriguez Gurruchage",3,"FB","lost",0,"1","1"
"7614",0,"Wales",0,"New Zealand",1,"SL Halfpenny",3,"W","lost",0,"1","1"
"7615",0,"Fra",0,"Argentina",1,"J Porical",3,"FB","lost",0,"1","1"
"7616",0,"NZ",0,"South Africa",1,"PAT Weepu",3,"SH","won",0,"1","1"
"7617",0,"SA",0,"Australia",1,"M Steyn",3,"FH","lost",0,"1","1"
"7618",0,"Aust",0,"New Zealand",1,"KJ Beale",3,"FB","lost",0,"1","1"
"7619",0,"Russ",0,"Japan",1,"A Yanyushkin",3,"SH","lost",0,"2","2"
"7620",0,"Scot",0,"New Zealand",1,"DA Parks",3,"FH","lost",0,"1","1"
"7621",0,"Fiji",0,"Wales",1,"JL Matavesi",3,"FB","draw",0,"2","1"
"7622",0,"Italy",0,"Australia",1,"L Orquera",3,"FH","lost",0,"1","1"
"7623",0,"Fra",1,"Argentina",0,"D Traille",3,"FH","won",0,"1","1"
"7624",0,"USA",1,"Georgia",0,"CT Wyles",3,"FB","lost",0,"2","2"
"7625",0,"Scot",0,"Samoa",1,"RJH Jackson",3,"FH","won",0,"1","2"
"7626",0,"Namib",0,"Spain",1,"SC de la Harpe",3,"W","lost",0,"2","2"
"7627",0,"Wales",0,"England",1,"JW Hook",3,"FB","lost",0,"1","1"
"7628",0,"Eng",0,"Wales",1,"JP Wilkinson",3,"FH","won",0,"1","1"
"7629",0,"Ukr",0,"Georgia",1,"O Kosariev",3,"W","lost",0,"3","2"
"7630",0,"Ire",1,"Italy",0,"RJR O'Gara",3,"FH","won",0,"1","1"
"7631",0,"Spain",0,"Russia",1,"A Jorajuria Calavia",3,"FH","lost",0,"2","2"
"7632",0,"Russ",0,"Spain",1,"K Rachkov",3,"FH","won",0,"2","2"
"7633",0,"Fra",1,"Scotland",0,"F Trinh-Duc",3,"FH","won",0,"1","1"
